,formatted_date,high,low,open,close,volume,adjclose
0,2019-01-01,3850.913818359375,3707.231201171875,3746.71337890625,3943.409423828125,4324200990,3843.52001953125
1,2019-01-02,3947.981201171875,3817.409423828125,3849.21630859375,3836.7412109375,5244856836,3943.409423828125
2,2019-01-03,3935.68505859375,3826.222900390625,3931.048583984375,3857.717529296875,4530215219,3836.7412109375
3,2019-01-04,3865.9345703125,3783.853759765625,3832.0400390625,3845.194580078125,4847965467,3857.717529296875
4,2019-01-05,3904.903076171875,3836.900146484375,3851.973876953125,4076.632568359375,5137609824,3845.194580078125
5,2019-01-06,4093.29736328125,3826.51318359375,3836.51904296875,4025.248291015625,5597027440,4076.632568359375
6,2019-01-07,4092.613525390625,4020.89404296875,4078.5849609375,4030.847900390625,5228625637,4025.248291015625
7,2019-01-08,4109.02099609375,3996.955322265625,4028.47216796875,4035.29638671875,5306593305,4030.847900390625
8,2019-01-09,4068.403564453125,4022.662841796875,4031.552001953125,3678.924560546875,5115905225,4035.29638671875
9,2019-01-10,4064.066650390625,3659.174560546875,4034.411376953125,3687.365478515625,6874143796,3678.924560546875
10,2019-01-11,3713.8818359375,3653.06982421875,3674.015380859375,3661.301025390625,5538712865,3687.365478515625
11,2019-01-12,3698.978271484375,3653.810791015625,3686.97314453125,3552.953125,4778170883,3661.301025390625
12,2019-01-13,3674.760009765625,3544.92724609375,3658.8681640625,3706.05224609375,4681302466,3552.953125
13,2019-01-14,3727.836181640625,3552.28515625,3557.31103515625,3630.67529296875,5651384490,3706.05224609375
14,2019-01-15,3720.1533203125,3619.94921875,3704.21630859375,3655.0068359375,5537192302,3630.67529296875
15,2019-01-16,3685.777099609375,3624.67333984375,3631.509765625,3678.56396484375,5394457145,3655.0068359375
16,2019-01-17,3680.135986328125,3621.9609375,3651.87109375,3657.83935546875,5464420383,3678.56396484375
17,2019-01-18,3682.52001953125,3637.080810546875,3677.990478515625,3728.568359375,5002961727,3657.83935546875
